fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp
5080,2.6.2,13,45.91.124.33,4,45.91.124.33,10.1.250.8,ICMP,50.0,48,"[{'rtt': 104.884432}, {'rtt': 124.674121}, {'rtt': 164.777532}]",0,3,3,104.884432,164.777532,131.4453616667,53759724,35634,2023-05-15 18:49:45,Ping,142.113.43.48,ping,53759724,,1684176588
5080,2.6.2,102,45.91.124.33,4,45.91.124.33,192.168.2.201,ICMP,52.0,48,"[{'rtt': 128.675244}, {'rtt': 126.130692}, {'rtt': 126.875717}]",0,3,3,126.130692,128.675244,127.2272176667,53759724,35641,2023-05-15 18:49:37,Ping,142.162.56.115,ping,53759724,,1684176577
5080,2.6.2,93,45.91.124.33,4,45.91.124.33,192.168.100.6,ICMP,55.0,48,"[{'rtt': 48.57174}, {'rtt': 48.455178}, {'rtt': 52.77186}]",0,3,3,48.455178,52.77186,49.932926,53759724,35643,2023-05-15 18:49:40,Ping,95.67.68.62,ping,53759724,,1684176580
5080,2.6.2,15,45.91.124.33,4,45.91.124.33,192.168.1.198,ICMP,49.0,48,"[{'rtt': 44.506782}, {'rtt': 44.028405}, {'rtt': 43.858163}]",0,3,3,43.858163,44.506782,44.1311166667,53759724,35655,2023-05-15 18:49:37,Ping,82.100.93.11,ping,53759724,,1684176578
5080,2.6.2,22,45.91.124.33,4,45.91.124.33,192.168.0.17,ICMP,51.0,48,"[{'rtt': 53.633416}, {'rtt': 52.278284}, {'rtt': 52.325008}]",0,3,3,52.278284,53.633416,52.7455693333,53759724,35659,2023-05-15 18:49:37,Ping,80.216.83.46,ping,53759724,,1684176578
5080,2.6.2,17,45.91.124.33,4,45.91.124.33,192.168.128.197,ICMP,53.0,48,"[{'rtt': 48.994276}, {'rtt': 48.905895}, {'rtt': 48.911195}]",0,3,3,48.905895,48.994276,48.937122,53759724,35667,2023-05-15 18:49:39,Ping,80.235.35.60,ping,53759724,,1684176580
5080,2.6.2,12,45.91.124.33,4,45.91.124.33,192.168.33.218,ICMP,53.0,48,"[{'rtt': 41.452344}, {'rtt': 41.128085}, {'rtt': 41.153281}]",0,3,3,41.128085,41.452344,41.24457,53759724,35680,2023-05-15 18:49:38,Ping,46.59.70.143,ping,53759724,,1684176578
5080,2.6.2,16,45.91.124.33,4,45.91.124.33,192.168.178.235,ICMP,55.0,48,"[{'rtt': 86.77737}, {'rtt': 72.964845}, {'rtt': 74.10271}]",0,3,3,72.964845,86.77737,77.9483083333,53759724,35681,2023-05-15 18:49:39,Ping,145.224.98.201,ping,53759724,,1684176580
5080,2.6.2,13,45.91.124.33,4,45.91.124.33,83.241.140.179,ICMP,58.0,48,"[{'rtt': 47.625914}, {'rtt': 47.585663}, {'rtt': 47.515068}]",0,3,3,47.515068,47.625914,47.5755483333,53759724,35682,2023-05-15 18:49:38,Ping,83.241.140.179,ping,53759724,,1684176579
5080,2.6.2,5,45.91.124.33,4,45.91.124.33,192.168.1.121,ICMP,53.0,48,"[{'rtt': 23.369074}, {'rtt': 22.811521}, {'rtt': 22.802278}]",0,3,3,22.802278,23.369074,22.994291,53759724,35689,2023-05-15 18:49:37,Ping,90.1.108.213,ping,53759724,,1684176579
5080,2.6.2,18,45.91.124.33,4,45.91.124.33,172.21.0.159,ICMP,53.0,48,"[{'rtt': 38.593807}, {'rtt': 35.966291}, {'rtt': 36.226852}]",0,3,3,35.966291,38.593807,36.9289833333,53759724,35698,2023-05-15 18:49:37,Ping,185.8.197.201,ping,53759724,,1684176578
5080,2.6.2,27,45.91.124.33,4,45.91.124.33,10.240.10.198,ICMP,54.0,48,"[{'rtt': 41.760374}, {'rtt': 41.596227999999996}, {'rtt': 41.554743}]",0,3,3,41.554743,41.760374,41.637115,53759724,35699,2023-05-15 18:49:40,Ping,194.71.216.49,ping,53759724,,1684176581
5080,2.6.2,21,45.91.124.33,4,45.91.124.33,192.168.2.141,ICMP,47.0,48,"[{'rtt': 137.247745}, {'rtt': 136.704915}, {'rtt': 136.755785}]",0,3,3,136.704915,137.247745,136.902815,53759724,35701,2023-05-15 18:49:37,Ping,107.211.137.146,ping,53759724,,1684176580
5080,2.6.2,115,45.91.124.33,4,45.91.124.33,192.168.69.19,ICMP,53.0,48,"[{'rtt': 82.33463}, {'rtt': 84.69489}, {'rtt': 82.31864}]",0,3,3,82.31864,84.69489,83.1160533333,53759724,35708,2023-05-15 18:49:37,Ping,185.249.152.112,ping,53759724,,1684176577
5080,2.6.2,113,45.91.124.33,4,45.91.124.33,200.0.70.3,ICMP,48.0,48,"[{'rtt': 200.661975}, {'rtt': 200.317852}, {'rtt': 200.565699}]",0,3,3,200.317852,200.661975,200.5151753333,53759724,35709,2023-05-15 18:49:37,Ping,200.0.70.3,ping,53759724,,1684176578
5080,2.6.2,117,45.91.124.33,4,45.91.124.33,192.168.3.129,ICMP,46.0,48,"[{'rtt': 209.193443}, {'rtt': 208.791089}, {'rtt': 208.666728}]",0,3,3,208.666728,209.193443,208.8837533333,53759724,35715,2023-05-15 18:49:37,Ping,170.239.70.208,ping,53759724,,1684176578
5080,2.6.2,101,45.91.124.33,4,45.91.124.33,172.31.1.203,ICMP,49.0,48,"[{'rtt': 16.413899}, {'rtt': 16.250994}, {'rtt': 16.194209}]",0,3,3,16.194209,16.413899,16.2863673333,53759724,35716,2023-05-15 18:49:37,Ping,85.199.213.50,ping,53759724,,1684176578
5040,2.4.1,100,45.91.124.33,4,45.91.124.33,192.168.20.20,ICMP,59.0,48,"[{'rtt': 24.781562}, {'rtt': 25.093696}, {'rtt': 24.856586}]",0,3,3,24.781562,25.093696,24.9106146667,53759724,35719,2023-05-15 18:49:40,Ping,86.95.101.89,ping,53759724,,1684176581
5080,2.6.2,104,45.91.124.33,4,45.91.124.33,10.10.10.131,ICMP,56.0,48,"[{'rtt': 21.110676}, {'rtt': 20.828026}, {'rtt': 20.902236}]",0,3,3,20.828026,21.110676,20.9469793333,53759724,35729,2023-05-15 18:49:40,Ping,185.29.201.50,ping,53759724,,1684176579
5080,2.6.2,91,45.91.124.33,4,45.91.124.33,192.168.189.3,ICMP,59.0,48,"[{'rtt': 27.098908}, {'rtt': 25.442517}, {'rtt': 25.872836}]",0,3,3,25.442517,27.098908,26.138087,53759724,35730,2023-05-15 18:49:37,Ping,86.83.164.107,ping,53759724,,1684176579
5080,2.6.2,90,45.91.124.33,4,45.91.124.33,192.168.89.254,ICMP,52.0,48,"[{'rtt': 215.246183}, {'rtt': 222.893808}]",0,2,2,215.246183,222.893808,219.0699955,53759724,35741,2023-05-15 18:49:39,Ping,102.177.65.6,ping,53759724,,1684176578
5080,2.6.2,89,45.91.124.33,4,45.91.124.33,192.168.1.70,ICMP,40.0,48,"[{'rtt': 257.911594}, {'rtt': 257.906856}, {'rtt': 257.792445}]",0,3,3,257.792445,257.911594,257.8702983333,53759724,35758,2023-05-15 18:49:50,Ping,119.74.21.81,ping,53759724,,1684176591
5080,2.6.2,17,45.91.124.33,4,45.91.124.33,192.168.131.141,ICMP,39.0,48,"[{'rtt': 167.502972}, {'rtt': 165.62104, 'ttl': 39}, {'rtt': 165.662374}]",0,3,3,165.62104,167.502972,166.2621286667,53759724,35763,2023-05-15 18:49:48,Ping,73.48.186.120,ping,53759724,,1684176588
5080,2.6.2,20,45.91.124.33,4,45.91.124.33,192.168.0.254,ICMP,55.0,48,"[{'rtt': 37.260878}, {'rtt': 37.571449}, {'rtt': 37.761107}]",0,3,3,37.260878,37.761107,37.5311446667,53759724,35765,2023-05-15 18:49:37,Ping,37.14.241.239,ping,53759724,,1684176578
5080,2.6.2,26,45.91.124.33,4,45.91.124.33,192.168.1.115,ICMP,47.0,48,"[{'rtt': 121.977823}, {'rtt': 121.611803}, {'rtt': 121.649064}]",0,3,3,121.611803,121.977823,121.74623,53759724,35768,2023-05-15 18:49:47,Ping,173.186.59.193,ping,53759724,,1684176588
5080,2.6.2,17,45.91.124.33,4,45.91.124.33,192.168.1.204,ICMP,43.0,48,"[{'rtt': 151.089166}, {'rtt': 145.531755}, {'rtt': 141.263094}]",0,3,3,141.263094,151.089166,145.9613383333,53759724,35769,2023-05-15 18:49:38,Ping,35.148.36.102,ping,53759724,,1684176579
5080,2.6.2,24,45.91.124.33,4,45.91.124.33,172.19.19.137,ICMP,48.0,48,"[{'rtt': 121.021762}, {'rtt': 120.869147}, {'rtt': 120.969482}]",0,3,3,120.869147,121.021762,120.9534636667,53759724,35771,2023-05-15 18:49:49,Ping,69.155.106.128,ping,53759724,,1684176588
5080,2.6.2,12,45.91.124.33,4,45.91.124.33,192.168.0.101,ICMP,51.0,48,"[{'rtt': 38.507582}, {'rtt': 38.762392}, {'rtt': 33.804506}]",0,3,3,33.804506,38.762392,37.0248266667,53759724,35778,2023-05-15 18:49:38,Ping,80.111.52.62,ping,53759724,,1684176579
5080,2.6.2,15,45.91.124.33,4,45.91.124.33,185.116.36.244,ICMP,58.0,48,"[{'rtt': 37.334818}, {'rtt': 37.334302}, {'rtt': 37.318377}]",0,3,3,37.318377,37.334818,37.3291656667,53759724,35780,2023-05-15 18:49:37,Ping,185.116.36.244,ping,53759724,,1684176578
5080,2.6.2,13,45.91.124.33,4,45.91.124.33,192.168.5.231,ICMP,53.0,48,"[{'rtt': 43.943657}, {'rtt': 43.396276}, {'rtt': 44.879213}]",0,3,3,43.396276,44.879213,44.0730486667,53759724,35783,2023-05-15 18:49:37,Ping,84.127.209.63,ping,53759724,,1684176577
5080,2.6.2,20,45.91.124.33,4,45.91.124.33,192.168.1.132,ICMP,52.0,48,"[{'rtt': 165.375796}, {'rtt': 165.296763}, {'rtt': 167.03133}]",0,3,3,165.296763,167.03133,165.9012963333,53759724,35786,2023-05-15 18:49:36,Ping,187.223.43.101,ping,53759724,,1684176578
5080,2.6.2,15,45.91.124.33,4,45.91.124.33,192.168.1.3,ICMP,55.0,48,"[{'rtt': 224.451351}, {'rtt': 224.541592}, {'rtt': 225.324772}]",0,3,3,224.451351,225.324772,224.7725716667,53759724,35788,2023-05-15 18:49:40,Ping,102.35.162.185,ping,53759724,,1684176581
5080,2.6.2,16,45.91.124.33,4,45.91.124.33,192.168.1.10,ICMP,52.0,48,"[{'rtt': 242.950417}, {'rtt': 242.831602}, {'rtt': 243.155187}]",0,3,3,242.831602,243.155187,242.9790686667,53759724,35789,2023-05-15 18:49:38,Ping,92.130.215.40,ping,53759724,,1684176579
5080,2.6.2,24,45.91.124.33,4,45.91.124.33,192.168.10.235,ICMP,49.0,48,"[{'rtt': 188.917538}, {'rtt': 185.314909}, {'rtt': 183.376898}]",0,3,3,183.376898,188.917538,185.8697816667,53759724,35790,2023-05-15 18:49:41,Ping,92.130.39.69,ping,53759724,,1684176581
5080,2.6.2,23,45.91.124.33,4,45.91.124.33,10.2.0.42,ICMP,50.0,48,"[{'rtt': 41.256375}, {'rtt': 47.198542}, {'rtt': 37.343}]",0,3,3,37.343,47.198542,41.932639,53759724,50002,2023-05-15 18:49:38,Ping,130.180.80.10,ping,53759724,,1684176577
5080,2.6.2,18,45.91.124.33,4,45.91.124.33,192.168.2.8,ICMP,53.0,48,"[{'rtt': 18.495208}, {'rtt': 18.065833}, {'rtt': 18.053209}]",0,3,3,18.053209,18.495208,18.20475,53759724,50005,2023-05-15 18:49:37,Ping,78.196.62.29,ping,53759724,,1684176578
5080,2.6.2,24,45.91.124.33,4,45.91.124.33,192.168.1.147,ICMP,55.0,48,"[{'rtt': 26.125833}, {'rtt': 26.062583}, {'rtt': 25.912667}]",0,3,3,25.912667,26.125833,26.0336943333,53759724,50007,2023-05-15 18:49:38,Ping,81.187.146.40,ping,53759724,,1684176578
5080,2.6.2,16,45.91.124.33,4,45.91.124.33,192.168.0.2,ICMP,55.0,48,"[{'rtt': 20.853917}, {'rtt': 20.313625}, {'rtt': 20.211417}]",0,3,3,20.211417,20.853917,20.459653,53759724,50010,2023-05-15 18:49:37,Ping,90.198.38.147,ping,53759724,,1684176579
5080,2.6.2,120,45.91.124.33,4,45.91.124.33,45.80.171.151,ICMP,52.0,48,"[{'rtt': 24.996875}, {'rtt': 24.499333}, {'rtt': 24.662833}]",0,3,3,24.499333,24.996875,24.7196803333,53759724,50012,2023-05-15 18:49:38,Ping,45.80.171.151,ping,53759724,,1684176578
5080,2.6.2,131,45.91.124.33,4,45.91.124.33,193.149.45.237,ICMP,57.0,48,"[{'rtt': 27.9265}, {'rtt': 27.668541}, {'rtt': 27.641792}]",0,3,3,27.641792,27.9265,27.745611,53759724,50014,2023-05-15 18:49:36,Ping,193.149.45.237,ping,53759724,,1684176577
5080,2.6.2,20,45.91.124.33,4,45.91.124.33,10.10.1.101,ICMP,54.0,48,"[{'rtt': 49.798625}, {'rtt': 49.09425}, {'rtt': 49.247584}]",0,3,3,49.09425,49.798625,49.380153,53759724,50015,2023-05-15 18:49:38,Ping,109.70.104.121,ping,53759724,,1684176578
5080,2.6.2,16,45.91.124.33,4,45.91.124.33,192.168.1.152,ICMP,53.0,48,"[{'rtt': 114.560917}, {'rtt': 115.629}, {'rtt': 113.188375}]",0,3,3,113.188375,115.629,114.4594306667,53759724,50017,2023-05-15 18:49:39,Ping,98.97.21.177,ping,53759724,,1684176578
5080,2.6.2,124,45.91.124.33,4,45.91.124.33,192.168.1.3,ICMP,52.0,48,"[{'rtt': 112.453}, {'rtt': 104.009042}, {'rtt': 97.452208}]",0,3,3,97.452208,112.453,104.6380833333,53759724,50019,2023-05-15 18:49:38,Ping,24.104.234.178,ping,53759724,,1684176580
5080,2.6.2,106,45.91.124.33,4,45.91.124.33,192.168.88.146,ICMP,54.0,48,"[{'rtt': 186.85975}, {'rtt': 185.110333}, {'rtt': 185.49175}]",0,3,3,185.110333,186.85975,185.820611,53759724,50022,2023-05-15 18:49:38,Ping,41.60.232.86,ping,53759724,,1684176579
5080,2.6.2,110,45.91.124.33,4,45.91.124.33,192.168.88.22,ICMP,63.0,48,"[{'rtt': 94.630542}, {'rtt': 112.893917}, {'rtt': 95.789791}]",0,3,3,94.630542,112.893917,101.10475,53759724,50024,2023-05-15 18:49:38,Ping,213.87.86.219,ping,53759724,,1684176578
5080,2.6.2,105,45.91.124.33,4,45.91.124.33,212.12.45.142,ICMP,56.0,48,"[{'rtt': 32.569792}, {'rtt': 32.330875}, {'rtt': 32.349208}]",0,3,3,32.330875,32.569792,32.416625,53759724,50025,2023-05-15 18:49:38,Ping,212.12.45.142,ping,53759724,,1684176578
5080,2.6.2,109,45.91.124.33,4,45.91.124.33,192.168.0.32,ICMP,51.0,48,"[{'rtt': 35.320292}, {'rtt': 31.196584}, {'rtt': 31.73025}]",0,3,3,31.196584,35.320292,32.749042,53759724,50028,2023-05-15 18:49:38,Ping,37.228.230.142,ping,53759724,,1684176577
5080,2.6.2,113,45.91.124.33,4,45.91.124.33,172.22.37.14,ICMP,57.0,48,"[{'rtt': 27.958083}, {'rtt': 27.970458999999998}, {'rtt': 27.687542}]",0,3,3,27.687542,27.970458999999998,27.872028,53759724,50029,2023-05-15 18:49:37,Ping,77.72.223.1,ping,53759724,,1684176577
5080,2.6.2,107,45.91.124.33,4,45.91.124.33,129.143.67.218,ICMP,56.0,48,"[{'rtt': 29.603333}, {'rtt': 29.367417}, {'rtt': 29.435209}]",0,3,3,29.367417,29.603333,29.468653,53759724,50034,2023-05-15 18:49:38,Ping,129.143.67.218,ping,53759724,,1684176578
